"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"342","Female","Caucasian",80,5,45,53,44,62
"343","Female","Caucasian",80,6,45,66,0,0
"344","Female","Caucasian",85,0,15,28,0,0
"345","Female","Caucasian",85,1,15,40,31,54
"346","Female","Caucasian",85,2,15,53,40,67
"347","Female","Caucasian",85,3,15,64,50,76
"348","Female","Caucasian",85,4,15,73,62,81
"349","Female","Caucasian",85,5,15,79,72,82
"350","Female","Caucasian",85,6,15,81,0,0
"351","Female","Caucasian",85,0,20,25,0,0
"352","Female","Caucasian",85,1,20,36,28,47
"353","Female","Caucasian",85,2,20,48,35,62
"354","Female","Caucasian",85,3,20,61,47,73
"355","Female","Caucasian",85,4,20,72,60,80
"356","Female","Caucasian",85,5,20,79,71,84
"357","Female","Caucasian",85,6,20,83,0,0
"358","Female","Caucasian",85,0,25,23,0,0
"359","Female","Caucasian",85,1,25,32,25,39
"360","Female","Caucasian",85,2,25,44,31,54
"361","Female","Caucasian",85,3,25,57,43,68
"362","Female","Caucasian",85,4,25,69,57,79
"363","Female","Caucasian",85,5,25,78,70,84
"364","Female","Caucasian",85,6,25,84,0,0
"365","Female","Caucasian",85,0,30,19,0,0
"366","Female","Caucasian",85,1,30,27,21,33
"367","Female","Caucasian",85,2,30,38,26,47
"368","Female","Caucasian",85,3,30,50,37,62
"369","Female","Caucasian",85,4,30,63,50,74
"370","Female","Caucasian",85,5,30,74,64,80
"371","Female","Caucasian",85,6,30,81,0,0
"372","Female","Caucasian",85,0,35,16,0,0
"373","Female","Caucasian",85,1,35,23,17,28
"374","Female","Caucasian",85,2,35,32,22,41
"375","Female","Caucasian",85,3,35,44,31,55
"376","Female","Caucasian",85,4,35,56,43,68
"377","Female","Caucasian",85,5,35,68,58,76
"378","Female","Caucasian",85,6,35,77,0,0
"379","Female","Caucasian",85,0,40,14,0,0
"380","Female","Caucasian",85,1,40,20,15,23
"381","Female","Caucasian",85,2,40,27,19,35
"382","Female","Caucasian",85,3,40,38,27,48
"383","Female","Caucasian",85,4,40,50,37,62
"384","Female","Caucasian",85,5,40,62,51,71
"385","Female","Caucasian",85,6,40,73,0,0
"386","Female","Caucasian",85,0,45,12,0,0
"387","Female","Caucasian",85,1,45,17,12,19
"388","Female","Caucasian",85,2,45,23,16,30
"389","Female","Caucasian",85,3,45,32,22,42
"390","Female","Caucasian",85,4,45,43,32,55
"391","Female","Caucasian",85,5,45,56,45,64
"392","Female","Caucasian",85,6,45,67,0,0
"393","Female","Caucasian",90,0,15,23,0,0
"394","Female","Caucasian",90,1,15,34,25,47
"395","Female","Caucasian",90,2,15,46,33,61
"396","Female","Caucasian",90,3,15,58,43,71
"397","Female","Caucasian",90,4,15,68,54,77
"398","Female","Caucasian",90,5,15,74,66,78
"399","Female","Caucasian",90,6,15,76,0,0
"400","Female","Caucasian",90,0,20,21,0,0
"401","Female","Caucasian",90,1,20,31,23,41
"402","Female","Caucasian",90,2,20,42,30,56
"403","Female","Caucasian",90,3,20,54,40,68
"404","Female","Caucasian",90,4,20,66,52,75
"405","Female","Caucasian",90,5,20,74,64,80
"406","Female","Caucasian",90,6,20,79,0,0
"407","Female","Caucasian",90,0,25,20,0,0
"408","Female","Caucasian",90,1,25,28,21,35
"409","Female","Caucasian",90,2,25,38,27,49
"410","Female","Caucasian",90,3,25,51,37,63
"411","Female","Caucasian",90,4,25,63,50,73
"412","Female","Caucasian",90,5,25,73,62,79
"413","Female","Caucasian",90,6,25,80,0,0
"414","Female","Caucasian",90,0,30,17,0,0
"415","Female","Caucasian",90,1,30,24,18,30
"416","Female","Caucasian",90,2,30,33,23,42
"417","Female","Caucasian",90,3,30,44,31,56
"418","Female","Caucasian",90,4,30,56,43,68
"419","Female","Caucasian",90,5,30,68,56,75
"420","Female","Caucasian",90,6,30,76,0,0
"421","Female","Caucasian",90,0,35,14,0,0
"422","Female","Caucasian",90,1,35,20,15,25
"423","Female","Caucasian",90,2,35,28,19,36
